unix,date,open,high,low,close,volume,sma20,sma50
1641129300000,2022-01-02 13:15:00+00:00,47130.0,47255.3,47093.95,47248.78,204.91976,47249.569,47231.0204
1641130200000,2022-01-02 13:30:00+00:00,47248.78,47251.48,47135.01,47178.85,120.80715,47250.461,47225.75060000001
1641131100000,2022-01-02 13:45:00+00:00,47178.87,47179.78,47090.0,47137.35,123.379,47246.2085,47219.393
1641132000000,2022-01-02 14:00:00+00:00,47137.35,47191.07,47100.0,47175.0,152.00904,47244.206,47215.120200000005
1641132900000,2022-01-02 14:15:00+00:00,47174.99,47202.39,47020.0,47056.24,220.68957,47230.0755,47208.6856
1641133800000,2022-01-02 14:30:00+00:00,47056.24,47170.0,47055.26,47140.98,127.91204,47218.1245,47202.7696
1641134700000,2022-01-02 14:45:00+00:00,47140.98,47163.13,47093.61,47112.55,117.05546,47210.09,47198.4988
1641135600000,2022-01-02 15:00:00+00:00,47112.54,47336.64,47071.27,47287.14,207.92148,47207.03050000001,47196.8334
1641136500000,2022-01-02 15:15:00+00:00,47287.13,47320.24,47179.01,47185.97,180.3329,47202.7175,47193.1428
1641137400000,2022-01-02 15:30:00+00:00,47185.97,47213.93,47105.13,47203.88,170.65358,47199.6615,47191.30439999999
1641138300000,2022-01-02 15:45:00+00:00,47203.87,47390.0,47202.52,47340.47,225.25573,47207.2405,47190.4596
1641139200000,2022-01-02 16:00:00+00:00,47340.47,47486.61,47273.64,47431.11,298.39696,47215.1905,47190.9582
1641140100000,2022-01-02 16:15:00+00:00,47431.11,47473.59,47356.94,47419.57,147.42647,47220.669,47192.7602
1641141000000,2022-01-02 16:30:00+00:00,47420.64,47664.95,47419.57,47546.55,373.52978,47234.9285,47196.0586
1641141900000,2022-01-02 16:45:00+00:00,47546.5,47886.0,47546.5,47792.3,548.21629,47262.7685,47205.7874
1641142800000,2022-01-02 17:00:00+00:00,47792.29,47990.0,47520.89,47549.71,692.67062,47284.8355,47213.5922
1641143700000,2022-01-02 17:15:00+00:00,47549.71,47694.0,47482.57,47646.39,258.30986,47309.3425,47228.314000000006
1641144600000,2022-01-02 17:30:00+00:00,47646.39,47671.7,47514.24,47590.98,164.72832,47323.369,47242.4838
1641145500000,2022-01-02 17:45:00+00:00,47590.98,47600.0,47317.46,47401.14,324.88357,47328.7785,47251.601200000005
1641146400000,2022-01-02 18:00:00+00:00,47401.14,47401.14,47221.2,47254.01,334.15265,47334.9485,47257.2876
1641147300000,2022-01-02 18:15:00+00:00,47254.01,47299.92,46856.28,46949.01,573.46339,47319.96000000001,47254.64220000001
1641148200000,2022-01-02 18:30:00+00:00,46949.02,47007.87,46654.0,46909.07,677.51064,47306.471,47252.1158
1641149100000,2022-01-02 18:45:00+00:00,46909.06,47082.3,46866.14,47058.12,267.21131,47302.5095,47251.1422
1641150000000,2022-01-02 19:00:00+00:00,47056.43,47217.1,46965.39,47065.19,335.77038,47297.019,47248.7492
1641150900000,2022-01-02 19:15:00+00:00,47065.19,47114.72,46854.01,46915.69,280.55964,47289.9915,47244.6108
1641151800000,2022-01-02 19:30:00+00:00,46915.69,47006.7,46851.51,46942.1,205.02034,47280.0475,47240.7352
1641152700000,2022-01-02 19:45:00+00:00,46942.09,46987.89,46900.38,46907.68,116.03571,47269.804,47235.26
1641153600000,2022-01-02 20:00:00+00:00,46907.67,47050.0,46815.17,47035.48,261.56729,47257.221,47232.3974
1641154500000,2022-01-02 20:15:00+00:00,47035.47,47050.0,46951.51,47033.17,109.28714,47249.581,47229.59180000001
1641155400000,2022-01-02 20:30:00+00:00,47033.18,47033.19,46899.46,46956.18,109.21628,47237.196,47227.5006
